43,Computer Science,Female,Pakistani,Punjab,BS,MS,Above 3Lac,6,YES,NO,Strongly Agree,Matric,FSc/ ICS,73.64,81.64,2.92,2.76,3.04,3.28,2.96,3,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Day scholar,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Independent study,Day time,3~4 hours,When teacher is cutting unnecessary marks in exam and is not marking our proj according to our efforts  ,,,,,,,,
39,Computer Science,Male,Pakistani,Punjab,BS,Intermediate,Between 1Lac~2Lac,Above 6,YES,NO,Strongly disagree,Matric,FSc/ ICS,77.82,72.91,3.44,2.98,3.08,2.63,2.83,2.98,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Middle row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Hostelite,Strongly disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Group study,Late night,3~4 hours,N/A,,,,,,,,
8,Computer Science,Male,Pakistani,Punjab,BS,Matric,Between 30K~50K,Above 6,YES,NO,Agree,Matric,FSc/ ICS,86.67,66,3.25,2.96,3.26,2.76,2.65,2.97,Urdu,Power point,First row,1 hour,Female instructor,Not more than 40,I take notes during lecture,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Day scholar,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Group study,Day time,5~6 hours,eyesight issue,,,,,,,,
42,Computer Science,Male,Pakistani,Punjab,BS,MS,Between 1Lac~2Lac,5,YES,NO,Neutral,Matric,FSc/ ICS,84.09,72.55,3.12,2.61,2.94,3,3.19,2.97,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 50,Notes taking has no relation with my academic performance,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Hostelite,Agree,Neutral,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Independent study,Day time,3~4 hours,Hostel issues,,,,,,,,
44,Computer Science,Male,Pakistani,Punjab,Matric,Below Matric,Below 30K,Above 6,NO,YES,Disagree,Matric,FSc/ ICS,84.45,73.27,3.44,2.98,3.08,2.94,2.48,2.97,Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Independent study,Late night,More than 8 hours,Nill,,,,,,,,
2,Computer Science,Male,Pakistani,Punjab,BS,PhD/ Doctor,Between 1Lac~2Lac,5,NO,NO,Strongly Agree,Matric,FSc/ ICS,84.36,75,3.25,3.45,3.2,2.26,2.78,2.97,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,Agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Day scholar,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Independent study,Day time,5~6 hours,1. Instructors can create engaging and useful content and activities in place of existing slides and course contents that they reuse from 2003. 2. A less hostile class environment where peers are supportive rather than distanced and acting selfishly to save their own grades.,,,,,,,,
23,Computer Science,Female,Pakistani,Punjab,MS,Intermediate,Between 50K~1Lac,6,NO,NO,Agree,Matric,FSc/ ICS,88.55,65.45,3.37,3.32,2.82,2.63,2.63,2.94,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Hostelite,Neutral,Agree,Agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Independent study,Day time,More than 8 hours,no,,,,,,,,
34,Computer Science,Male,Pakistani,Balochistan,MS,MS,Between 50K~1Lac,4,NO,NO,Strongly Agree,Matric,FSc/ ICS,87.27,67.45,3.19,2.87,3.24,2.87,2.54,2.93,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Neutral,Day scholar,Disagree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Group study,Late night,1~2 hours,Popularity of Ratta Subjects in Academics. I hate these because they are far off from Industry Knowledge.,,,,,,,,
29,Computer Science,Male,Pakistani,KPK,MS,Matric,Between 30K~50K,6,NO,NO,Strongly Agree,Matric,FSc/ ICS,79.64,77,2.38,2.39,3.12,3.17,3.35,2.9,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Hostelite,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Neutral,Neutral,Independent study,Late night,3~4 hours,Financial crisis,,,,,,,,
28,Computer Science,Male,Pakistani,Punjab,MS,MS,Between 1Lac~2Lac,6,NO,NO,Agree,Matric,FSc/ ICS,82.91,72.82,3.29,2.33,2.88,2.89,3.09,2.89,Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Day scholar,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Group study,Late night,5~6 hours,Nothing,,,,,,,,
21,Computer Science,Female,Pakistani,Punjab,Matric,Below Matric,Between 50K~1Lac,5,YES,YES,Neutral,Matric,FSc/ ICS,70.82,73.73,2.61,2.43,2.88,3.04,3.39,2.88,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Day scholar,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Group study,Late night,1~2 hours,Not attending classes properly ,,,,,,,,
56,Computer Science,Male,Pakistani,Punjab,BS,Intermediate,Between 30K~50K,5,NO,YES,Strongly Agree,Matric,FSc/ ICS,85.71,73.27,3.25,2.21,2.8,3.15,2.91,2.86,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Day scholar,Neutral,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Group study,Late night,3~4 hours,make up classes.,,,,,,,,
49,Computer Science,Male,Pakistani,Federal/ Capital,Intermediate,Below Matric,Between 50K~1Lac,Above 6,NO,YES,Neutral,Matric,FSc/ ICS,83.33,76.45,2.86,2.63,3.14,2.54,2.78,2.78,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly disagree,Strongly Agree,Group study,Day time,More than 8 hours,I dont like those subjects which has exams right out of the ppt slides. I donot put any effort in it. I like it when competition and alas there is none in our class. And the instructors interaction while giving the lecture does help keeping the interest intact i.e. by getting questioned from the instructor. Thank you.,,,,,,,,
72,Computer Science,Male,Pakistani,Punjab,Matric,Below Matric,Between 50K~1Lac,5,YES,NO,Agree,Matric,FSc/ ICS,81.62,74.45,2.64,2.51,3.22,2.52,2.96,2.77,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Disagree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Hostelite,Strongly disagree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Neutral,Agree,Strongly disagree,Agree,Neutral,Disagree,Disagree,Independent study,Late night,1~2 hours,career related stress,,,,,,,,
73,Computer Science,Male,Pakistani,Punjab,BS,Intermediate,Between 30K~50K,6,YES,YES,Agree,Matric,FSc/ ICS,79.27,66.36,2.87,2.28,2.81,3.04,2.74,2.75,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Hostelite,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Independent study,Late night,3~4 hours,More friends ,,,,,,,,
6,Computer Science,Male,Pakistani,Punjab,Matric,Matric,Between 1Lac~2Lac,5,YES,NO,Agree,Matric,FSc/ ICS,82.82,68.82,2.4,2.77,3.25,2.46,2.76,2.73,Urdu,Mix of both whiteboard and power point,First row,1 hour,Female instructor,Not more than 40,I take notes during lecture,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Day scholar,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Group study,Late night,1~2 hours,None,,,,,,,,
48,Computer Science,Male,Pakistani,Federal/ Capital,BS,Intermediate,Between 1Lac~2Lac,6,NO,NO,Strongly Agree,Matric,FSc/ ICS,86.73,71.73,2.86,2.71,2.96,2.5,2.67,2.73,English,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Day scholar,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Group study,Late night,7~8 hours,Travel time,,,,,,,,
41,Computer Science,Male,Pakistani,Punjab,MS,MS,Between 1Lac~2Lac,5,YES,YES,Agree,Matric,FSc/ ICS,86.64,68.73,2.81,2.63,2.65,2.59,2.91,2.72,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Independent study,Late night,3~4 hours,stress,,,,,,,,
40,Computer Science,Female,Pakistani,Sindh,MS,MS,Between 2Lac~3Lac,Above 6,YES,YES,Agree,Matric,FSc/ ICS,87.73,70.82,3.25,3.2,2.63,2.09,2.46,2.71,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Day scholar,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Independent study,Late night,3~4 hours,Eye-strain and headaches.,,,,,,,,
55,Computer Science,Female,Dual,Federal/ Capital,MS,Intermediate,Between 1Lac~2Lac,6,NO,NO,Strongly Agree,Matric,FSc/ ICS,87.45,85,3.21,2.88,2.39,2.19,2.72,2.67,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Day scholar,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Independent study,Late night,5~6 hours,managing a job alongside studies,,,,,,,,
57,Computer Science,Male,Dual,Federal/ Capital,MS,BS,Above 3Lac,6,YES,YES,Neutral,Matric,FSc/ ICS,82.82,72.55,3.35,2.51,2.63,2.2,2.56,2.64,Mix of both English and Urdu,Mix of both whiteboard and power point,Last row,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Group study,Late night,7~8 hours,Internet not available ,,,,,,,,
63,Computer Science,Male,Pakistani,Punjab,Intermediate,Below Matric,Below 30K,5,YES,NO,Agree,Matric,FSc/ ICS,86.1,78.18,2.65,2.31,2.51,2.56,3.15,2.64,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Day scholar,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Independent study,Day time,3~4 hours,My Friends.,,,,,,,,
5,Computer Science,Male,Pakistani,KPK,BS,Intermediate,Between 50K~1Lac,5,NO,NO,Neutral,Matric,FSc/ ICS,61.43,80.64,1.23,2.43,2.51,2.74,2.35,2.64,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,Neutral,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Neutral,Neutral,Hostelite,Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Neutral,Independent study,Late night,3~4 hours,Not specific labs and equipment to perform practical works,,,,,,,,
15,Computer Science,Female,Pakistani,Punjab,MS,Intermediate,Between 2Lac~3Lac,6,NO,NO,Agree,Matric,FSc/ ICS,82.09,75.45,3.17,2.8,2.57,2.15,2.44,2.61,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Day scholar,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Group study,Day time,1~2 hours,Stresss ,,,,,,,,
70,Computer Science,Male,Pakistani,Federal/ Capital,BS,BS,Between 2Lac~3Lac,5,YES,NO,Agree,Matric,FSc/ ICS,88,80.09,2.9,2.02,2.48,2.72,3,2.61,Language does not effect my performance,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Day scholar,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Neutral,Group study,Late night,3~4 hours,none,,,,,,,,
69,Computer Science,Female,Pakistani,Punjab,BS,BS,Between 1Lac~2Lac,6,YES,NO,Neutral,Matric,FSc/ ICS,85.91,81.36,2.56,2.67,2.53,2.61,2.69,2.61,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Group study,Late night,3~4 hours,Too many slides and less time ,,,,,,,,
