22,Computer Science,Female,Pakistani,Federal/ Capital,MS,BS,Between 50K~1Lac,6,NO,NO,Neutral,Matric,FSc/ ICS,89.82,74.55,2.36,2.47,2.74,3,3.37,2.6,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,Strongly agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Group study,Day time,3~4 hours,no.,,,,,,,,
52,Computer Science,Male,Pakistani,Punjab,MS,Intermediate,Between 1Lac~2Lac,6,NO,NO,Agree,Matric,FSc/ ICS,80.91,71.36,2.94,2.41,2.88,2.33,2.33,2.57,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Day scholar,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Group study,Late night,3~4 hours,Money ,,,,,,,,
25,Computer Science,Female,Pakistani,Punjab,BS,MS,Between 1Lac~2Lac,6,YES,NO,Neutral,Matric,FSc/ ICS,90.55,71.45,3.19,2.36,2.08,2.54,2.67,2.56,Mix of both English and Urdu,Power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Hostelite,Strongly Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Group study,Late night,More than 8 hours,social media,,,,,,,,
31,Computer Science,Male,Pakistani,Punjab,MS,BS,Above 3Lac,5,YES,NO,Agree,Matric,FSc/ ICS,96.27,86,2.73,2.31,2.51,2.54,2.65,2.55,Urdu,Power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Hostelite,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Independent study,Late night,3~4 hours,Nil,,,,,,,,
35,Computer Science,Male,Pakistani,Federal/ Capital,MS,MS,Above 3Lac,5,NO,NO,Neutral,Matric,FSc/ ICS,81.82,67.82,3.23,2.84,2.35,2.05,2.28,2.54,Language does not effect my performance,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Group study,Day time,1~2 hours,Travelling time and health issues has been highlighted ,,,,,,,,
38,Computer Science,Male,Pakistani,Punjab,Matric,Matric,Below 30K,Above 6,NO,NO,Strongly disagree,Matric,FSc/ ICS,84.91,76.73,2.63,2.2,2.73,2.78,2.35,2.53,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Day scholar,Agree,Agree,Strongly disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Independent study,Late night,1~2 hours,Job,,,,,,,,
58,Computer Science,Male,Pakistani,Punjab,Matric,BS,Between 50K~1Lac,4,NO,NO,Strongly Agree,Matric,FSc/ ICS,82.73,61.45,3.44,2.8,2.2,2.09,2.06,2.5,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Independent study,Late night,3~4 hours,Family Stress,,,,,,,,
59,Computer Science,Male,Pakistani,Punjab,Intermediate,BS,Between 1Lac~2Lac,Above 6,NO,NO,Disagree,Matric,FSc/ ICS,91.73,73.45,1.94,2.39,2.49,2.43,3.11,2.48,Language does not effect my performance,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly agree,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Hostelite,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Group study,Late night,1~2 hours,Lack of internet connectivity in hostel especially in exams,,,,,,,,
50,Computer Science,Male,Pakistani,Punjab,BS,BS,Between 50K~1Lac,5,YES,NO,Agree,Matric,FSc/ ICS,73.09,76.73,3.23,2.04,2.22,2.46,2.45,2.47,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Hostelite,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Independent study,Day time,3~4 hours,Stress,,,,,,,,
54,Computer Science,Male,Pakistani,Sindh,Intermediate,Intermediate,Below 30K,4,NO,NO,Agree,Matric,FSc/ ICS,85.41,66.27,3.02,2.2,2.14,2.17,2.65,2.43,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Day scholar,Neutral,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Group study,Day time,3~4 hours,-,,,,,,,,
1,Computer Science,Male,Pakistani,Punjab,MS,PhD/ Doctor,Between 50K~1Lac,5,YES,YES,Agree,Matric,FSc/ ICS,86.95,76.45,3.06,2.63,2.63,1.98,1.87,2.43,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Hostelite,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Agree,Disagree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Strongly Agree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Group study,Day time,5~6 hours,"- work other than studying ( like I'm in to technology business, so it's very hard for me to focus on studying which will give no real value to me. Real work is totally different from this university teaching & learning world)",,,,,,,,
27,Computer Science,Male,Pakistani,Punjab,BS,BS,Between 50K~1Lac,6,YES,NO,Neutral,Matric,FSc/ ICS,84.27,74.45,2.46,2,2.7,2.59,2.3,2.41,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Day scholar,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Independent study,Late night,5~6 hours,due to lack of interest,,,,,,,,
45,Computer Science,Male,Pakistani,Punjab,MS,MS,Between 1Lac~2Lac,6,YES,NO,Neutral,Matric,FSc/ ICS,81.73,75.64,2.79,1.8,2.49,2.35,2.59,2.4,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Hostelite,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Group study,Late night,5~6 hours,Peer pressure,,,,,,,,
68,Computer Science,Female,Pakistani,Sindh,MS,MS,Above 3Lac,6,NO,NO,Agree,Matric,FSc/ ICS,83.06,66.18,2.65,1.49,2.59,2.48,2.9,2.39,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 50,I take notes during lecture,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Hostelite,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Group study,Late night,1~2 hours,"Depression, mental stress, teacher's strictness ",,,,,,,,
46,Computer Science,Male,Pakistani,Punjab,PhD/ Doctor,MS,Below 30K,5,NO,NO,Neutral,Matric,FSc/ ICS,87.75,70.73,2.9,2.27,1.94,2.24,2.61,2.39,Language does not effect my performance,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Hostelite,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Independent study,Day time,1~2 hours,None,,,,,,,,
24,Computer Science,Male,Pakistani,Punjab,Intermediate,Intermediate,Between 50K~1Lac,2,NO,NO,Agree,Matric,FSc/ ICS,83.09,72.45,3.38,2.25,2.27,1.8,2.31,2.38,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Day scholar,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Group study,Day time,1~2 hours,Human error on my part and really really bad social experiences have made me careless in university and studies as well.,,,,,,,,
4,Computer Science,Male,Pakistani,Punjab,MS,Intermediate,Between 1Lac~2Lac,6,NO,NO,Neutral,Cambridge,FSc/ ICS,68.78,75.36,2.83,2.61,2.33,2.09,1.93,2.34,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Day scholar,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Independent study,Late night,1~2 hours,"Nil, I my self did was not interested in study due to smoking regulary in 5 and 6 semester",,,,,,,,
60,Computer Science,Male,Pakistani,International,MS,BS,Between 1Lac~2Lac,Above 6,YES,NO,Disagree,Matric,FSc/ ICS,88.73,71.91,3.29,2.27,1.69,2.22,2.24,2.33,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Hostelite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Independent study,Late night,3~4 hours,None,,,,,,,,
19,Computer Science,Male,Pakistani,Punjab,BS,MS,Between 2Lac~3Lac,Above 6,NO,NO,Neutral,Matric,FSc/ ICS,90.64,75.73,2.21,2,2.47,2.58,2.63,2.32,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Day scholar,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Group study,Day time,3~4 hours,University environment ,,,,,,,,
61,Computer Science,Male,Pakistani,Punjab,Intermediate,Matric,Between 50K~1Lac,6,NO,NO,Neutral,Matric,FSc/ ICS,89.09,73.82,2.29,2.12,2.39,2.15,1.93,2.17,Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Day scholar,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Group study,Day time,3~4 hours,Noting ,,,,,,,,
64,Computer Science,Female,Pakistani,Federal/ Capital,Intermediate,MS,Between 30K~50K,5,NO,NO,Agree,Matric,FSc/ ICS,74.95,79.82,2.9,1.26,2.58,1.46,2.13,2.17,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Neutral,Strongly disagree,Agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Day scholar,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Agree,Group study,Late night,7~8 hours,Online classes allowing for a lax and carefree attitude,,,,,,,,
65,Computer Science,Male,Pakistani,KPK,MS,BS,Above 3Lac,3,YES,NO,Neutral,Matric,FSc/ ICS,80,77.36,2.58,2.35,2.16,1.83,1.93,2.16,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly disagree,Group study,Day time,3~4 hours,Too many useless subjects and lack of teaching technical skills by university makes me loose my interest.,,,,,,,,
3,Computer Science,Male,Pakistani,Punjab,MS,PhD/ Doctor,Between 2Lac~3Lac,6,NO,NO,Agree,Matric,FSc/ ICS,84.09,59.09,,1.86,2.47,1.74,2.62,2.15,Urdu,Whiteboard,First row,1 hour,Female instructor,Not more than 30,I take notes during lecture,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Day scholar,Agree,Neutral,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Independent study,Day time,1~2 hours,When any teacher call your name again and again in every lecture and he/she knows that you do not know the answer of the question. It shatters all your confidence. ,,,,,,,,
67,Computer Science,Male,Pakistani,Punjab,Intermediate,Intermediate,Between 50K~1Lac,5,NO,NO,Neutral,Matric,FSc/ ICS,86.18,70.91,2.1,1.9,1.98,2.35,2.28,2.13,Mix of both English and Urdu,Mix of both whiteboard and power point,Last row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Day scholar,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Group study,Day time,3~4 hours,There is no other variable that has negatives impact on my academic performance ,,,,,,,,
71,Computer Science,Male,Pakistani,Punjab,Intermediate,MS,Above 3Lac,6,NO,NO,Strongly Agree,Matric,FSc/ ICS,91.18,68.82,2.58,1.81,1.96,2.07,1.81,2.05,Mix of both English and Urdu,Power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Day scholar,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Neutral,Strongly agree,Disagree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Independent study,Late night,3~4 hours,"demotivated to chase grades as they are of no use, due to situation of jobs in Pakistan everything is based on sifarish so id rather enjoy my youth then to chase grades maybe if it was a worthwhile institute id think otherwise and teachers should understand this too and be lenient and give good grades ",,,,,,,,
66,Computer Science,Male,Pakistani,Punjab,BS,BS,Between 50K~1Lac,5,NO,NO,Neutral,Matric,FSc/ ICS,85.55,71.45,2.35,3.33,2.2,1.63,2.58,2.03,Mix of both English and Urdu,Power point,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Not more than 40,Only understand the concepts without noting them down,Strongly disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Day scholar,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Group study,Day time,5~6 hours,sometimes teacher starts talking about uncessary things  which i dont find alluring.,,,,,,,,
62,Computer Science,Male,Pakistani,Punjab,Matric,Below Matric,Between 50K~1Lac,4,YES,NO,Agree,Matric,FSc/ ICS,88.27,79.27,,1.35,3.18,3.06,3.32,,Urdu,Mix of both whiteboard and power point,Last row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Hostelite,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Independent study,Day time,1~2 hours,None,,,,,,,,
